"pairID:INTEGER,A.id:TEXT,B.id:TEXT"
1,34972919,23136815#UnbeatableSale.com
2,8086868,8086868#Tech For Less Inc
3,37671602,40826081#TigerDirect
4,35496125,40804262#TigerDirect
5,34928239,42462449#TigerDirect
6,22286246,22287459#UnbeatableSale.com
7,31402029,23143945#UnbeatableSale.com
8,41493844,41493844#TEKENVY
9,42585178,42398566#TigerDirect
10,40605305,40605305#US Micro
11,34693823,20440006#UnbeatableSale.com
12,33562360,40514293#TigerDirect
13,33474373,41033591#TigerDirect
14,42458827,42458758#TigerDirect
15,42581131,42462524#TigerDirect
16,13216348,13216348#Circuit City
17,16541897,16541897#Shoplet
18,11077980,11077955#Walmart.com
19,40818602,40818602#TEKENVY
20,43014809,43014809#TEKENVY
21,41084745,20701067#UnbeatableSale.com
22,15529646,15529646#Tech For Less Inc
23,42935652,43006915#O.co
24,14915860,14915858#Wayfair
25,41183318,41183318#TEKENVY
26,41564354,40399148#TigerDirect
27,10250409,10250409#UnbeatableSale.com
28,40985575,40985575#TEKENVY
29,40689495,40689495#OneCall
30,40870657,40870657#TEKENVY
31,42523790,42523790#US Micro
32,42614235,42614235#TEKENVY
33,14277830,14277830#Tech For Less Inc
34,42458726,42454381#TigerDirect
35,40514904,40514904#Monoprice Inc
36,40668526,40668514#TigerDirect
37,40695304,40695304#OneCall
38,42557969,42557969#TEKENVY
39,40438989,38527851#TigerDirect
40,42397724,40088176#TigerDirect
41,43113736,43113736#TEKENVY
42,42018047,42013626#Zoro
43,42462379,42456506#TigerDirect
44,41436830,40831890#Zoro
45,14908466,14873104#Wayfair
46,41177631,41177631#US Micro
47,35597444,35597444#Focus Camera
48,27292001,42508288#TigerDirect
49,40931017,41062302#Zoro
50,283430,283430#Walmart.com
51,41981895,41981895#HappEshopper
52,42558848,42558848#TEKENVY
53,41290838,41290838#TEKENVY
54,41344609,41344609#US Micro
55,15047794,15047794#Tech For Less Inc
56,40594573,40594506#TigerDirect
57,37585341,41513982#TigerDirect
58,41193448,41193448#TEKENVY
59,751026,751026#Walmart.com
60,41269295,41269295#HappEshopper
61,42489820,42491479#TigerDirect
62,35879256,35879256#OneCall
63,13309316,12183220#Wayfair
64,3880822,3880822#Shoplet
65,33247957,40322196#TigerDirect
66,37674317,42476744#TigerDirect
67,41053687,41053687#US Micro
68,33474818,40618737#TigerDirect
